user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
333017,371738,65056,242484,32058,4470,362983,74652,1800054678,400420,101732,13483,124190,227652,407007,57042,60992,11176
337963,47559,51011,50969,226863,625696,353131,386585,74652,80998,928301,140132,623399,1800054678,187281,470351,529278,601528
339260,174991,383346,373018,252816,199792,89831,104295,251917,937635,8688,53932,264017,229850,121185,68884,97579,50151
341344,128473,28649,482376,47559,1052873,844554,119466,180090,97579,189616,690623,187281,481092,13796,184723,37779,59473
347822,251917,24386,129652,229524,928301,789516,39835,386585,88099,125640,131021,43083,136997,199792,969481,101823,362983
350750,286566,520150,1269015,37779,286851,93006,124190,400708,126104,92816,126440,51011,140132,38643,358796,92886,57042
353131,50969,13483,168462,55578,43083,101034,357358,1365025,386849,264017,489552,1122161,339260,232480,337963,222564,129652
353579,44383,60260,226066,164368,140132,914720,121185,173579,177753,333017,67656,461834,1133190,242484,199792,280166,230557
355637,37449,486718,177933,39301,54678,101732,288351,52125,382203,359220,666723,520150,28649,60989,218535,39835,464080
357358,101034,168462,386849,32058,46660,43083,54697,37449,88099,440324,353131,230557,37636,68960,136997,232480,407007
358698,174991,209747,222564,1320105,46660,222055,60992,60260,26512,377581,1581225,126440,394077,663997,839492,145352,232190
358796,232480,131126,226863,60989,8688,369715,252816,5060,88099,2123645,288146,184723,1320105,218535,125388,124190,204024
359220,142559,486718,262312,280271,288351,27643,184723,355637,68960,125640,8629,928301,134624,218535,55578,198154,126440
362983,371738,142367,47510,42720,227652,690623,104295,60992,126104,333017,173579,60260,810787,140806,38643,969481,847160
363055,428885,839492,203325,60260,620763,2549237,142367,394077,135887,46660,248023,632249,347822,80998,315055,625696,386849
368078,470351,18391,1320105,125388,383346,26512,285039,601528,124190,286851,264017,485151,68884,5060,481092,426903,242484
369715,286566,104295,358796,232480,88099,937635,27783,35526,131126,60989,182624,288351,1320105,57042,33159,407007,1581225
371738,227652,333017,60992,37449,440324,140806,810787,847160,68884,315055,1800054678,4470,101732,101823,74652,520150,1179225
373018,1122161,174991,383346,252816,470351,969481,80998,53932,89831,251917,199792,104295,8688,286851,97579,447165,288146
373817,470351,140132,91392,333017,43083,280166,187373,232190,60989,1365025,199792,124190,121185,359220,256795,92886,529278
377581,227607,189475,251626,8629,560491,95743,382203,204024,64583,810787,92816,160974,407007,125640,126104,46660,47559
382203,377581,242484,59780,26512,229524,355637,117781,188119,251917,166294,38643,307214,11176,189475,64642,316717,593513
383346,339260,1122161,173314,470351,174991,373018,368078,68884,252816,104295,8688,199792,251917,937635,89831,121185,229850
